Department,region,Education,Gender,recruitment_channel,no_of_trainings,Age,previous_year_rating,awards_won,avg_training_score,is_promoted
Technology,region_28,Bachelor's Degree,Male,sourcing,1,33,4,0,75,0
Sales & Marketing,region_7,Bachelor's Degree,Female,sourcing,1,40,5,0,47,0
Sales & Marketing,region_1,Master's Degree,Male,other,1,42,5,0,51,0
Sales & Marketing,region_28,Bachelor's Degree,Male,sourcing,1,33,5,0,51,1
Technology,region_15,Bachelor's Degree,Male,other,1,34,3,0,80,0
Operations,region_2,Bachelor's Degree,Female,other,2,23,4,0,57,0
HR,region_2,Bachelor's Degree,Male,sourcing,1,59,4,0,52,0
Sales & Marketing,region_2,PhD,Male,other,3,24,2,0,48,0
Analytics,region_2,Bachelor's Degree,Male,other,1,44,5,0,88,0
Procurement,region_17,Bachelor's Degree,Female,sourcing,1,50,5,0,71,0
Procurement,region_13,Master's Degree,Female,other,1,37,4,0,71,0
Technology,region_16,Bachelor's Degree,Male,sourcing,1,40,3,0,80,0
Sales & Marketing,region_20,Bachelor's Degree,Male,sourcing,1,30,3,0,49,0
Procurement,region_2,Master's Degree,Female,sourcing,1,56,3,0,73,0
Finance,region_2,Bachelor's Degree,Male,sourcing,1,20,4,0,60,0
Sales & Marketing,region_25,Bachelor's Degree,Female,sourcing,1,31,3,0,48,0
Procurement,region_15,Bachelor's Degree,Male,sourcing,1,40,3,0,65,0
HR,region_22,Bachelor's Degree,Male,other,1,30,1,0,50,0
Operations,region_22,Bachelor's Degree,Male,other,1,39,3,0,62,0
Analytics,region_31,Bachelor's Degree,Male,other,2,26,2,0,85,0
Sales & Marketing,region_31,Bachelor's Degree,Female,other,1,29,0,0,49,0
R&D,region_22,Master's Degree,Male,sourcing,1,40,3,0,84,0
Sales & Marketing,region_16,Bachelor's Degree,Male,other,2,27,0,0,47,0
Sales & Marketing,region_19,Bachelor's Degree,Male,other,1,40,4,0,52,0
Sales & Marketing,region_4,Master's Degree,Male,other,1,50,4,0,47,1
Sales & Marketing,region_29,Bachelor's Degree,Male,sourcing,1,25,3,0,53,0
Analytics,region_22,Bachelor's Degree,Female,other,1,28,0,0,80,0
Sales & Marketing,region_1,Master's Degree,Male,sourcing,1,35,4,0,52,0
R&D,region_26,Bachelor's Degree,Male,other,1,34,5,0,87,0
Operations,region_13,Master's Degree,Female,sourcing,1,31,3,0,58,0
Finance,region_22,Bachelor's Degree,Male,other,1,27,0,1,58,1
Sales & Marketing,region_22,Bachelor's Degree,Male,sourcing,1,27,0,0,39,1
Procurement,region_10,Bachelor's Degree,Male,other,1,30,4,0,75,0
Analytics,region_31,Bachelor's Degree,Male,other,1,30,3,0,84,1
Operations,region_22,Bachelor's Degree,Female,other,1,50,5,0,59,0
Technology,region_22,Master's Degree,Male,other,1,34,5,0,78,1
Sales & Marketing,region_2,Master's Degree,Female,sourcing,1,41,1,0,52,0
Sales & Marketing,region_16,Bachelor's Degree,Male,sourcing,1,32,4,0,44,0
Sales & Marketing,region_7,Bachelor's Degree,Male,other,1,50,3,0,52,0
Sales & Marketing,region_2,Master's Degree,Male,sourcing,1,38,4,0,49,1
Sales & Marketing,region_27,Bachelor's Degree,Male,sourcing,2,29,1,0,51,0
Sales & Marketing,region_30,Bachelor's Degree,Male,sourcing,1,35,4,0,53,0
Analytics,region_2,Bachelor's Degree,Male,other,1,25,3,0,91,0
Sales & Marketing,region_22,Bachelor's Degree,Male,sourcing,1,30,3,0,58,1
Technology,region_2,Bachelor's Degree,Male,referred,1,47,3,0,79,0
Operations,region_4,Master's Degree,Male,sourcing,1,35,2,0,53,0
Sales & Marketing,region_2,PhD,Male,sourcing,2,25,3,0,53,0
R&D,region_22,Bachelor's Degree,Male,other,1,36,4,0,82,0
Legal,region_7,Bachelor's Degree,Male,other,1,29,0,0,65,1
Operations,region_11,Master's Degree,Female,sourcing,1,42,5,0,60,1
HR,region_20,Bachelor's Degree,Female,sourcing,1,28,2,0,52,0
Sales & Marketing,region_2,PhD,Male,sourcing,1,39,1,0,49,0
Procurement,region_7,Master's Degree,Male,sourcing,1,32,5,0,69,1
Sales & Marketing,region_31,Bachelor's Degree,Female,other,1,31,0,0,51,0
Sales & Marketing,region_2,PhD,Female,sourcing,1,20,0,0,55,0
Analytics,region_12,Bachelor's Degree,Male,other,1,34,3,0,85,0
Procurement,region_2,Master's Degree,Male,sourcing,2,46,4,0,74,0
HR,region_2,Master's Degree,Male,other,1,47,3,0,44,0
Operations,region_2,Bachelor's Degree,Female,other,1,44,4,0,53,0
Analytics,region_14,Bachelor's Degree,Male,sourcing,1,31,4,0,86,0
Technology,region_26,Bachelor's Degree,Female,sourcing,1,23,0,0,77,0
Operations,region_2,Bachelor's Degree,Female,sourcing,1,33,3,0,57,0
Sales & Marketing,region_31,Bachelor's Degree,Male,other,1,41,3,0,52,0
Finance,region_2,Master's Degree,Male,other,1,60,5,0,59,0
Operations,region_15,Bachelor's Degree,Male,other,1,31,5,0,63,1
Operations,region_26,Bachelor's Degree,Female,other,1,37,3,0,57,0
Analytics,region_7,Bachelor's Degree,Male,sourcing,2,39,3,0,83,0
Sales & Marketing,region_7,Bachelor's Degree,Male,other,1,40,5,0,54,0
Sales & Marketing,region_28,Master's Degree,Male,sourcing,1,42,5,0,50,0
Operations,region_13,Bachelor's Degree,Male,other,1,35,4,0,57,1
Operations,region_13,Master's Degree,Female,sourcing,1,41,4,0,62,0
Procurement,region_2,Bachelor's Degree,Female,other,1,23,3,0,73,0
Sales & Marketing,region_16,Bachelor's Degree,Male,sourcing,2,31,3,0,50,0
Analytics,region_22,Master's Degree,Male,other,1,42,2,0,79,0
Sales & Marketing,region_22,Bachelor's Degree,Male,other,3,29,4,0,49,0
HR,region_13,Bachelor's Degree,Female,other,1,30,0,0,54,0
Operations,region_2,Bachelor's Degree,Male,sourcing,1,41,4,0,63,0
Sales & Marketing,region_7,Bachelor's Degree,Female,other,1,40,3,0,90,1
Sales & Marketing,region_2,Bachelor's Degree,Male,referred,1,34,5,0,49,0
Sales & Marketing,region_4,Bachelor's Degree,Female,other,1,31,4,0,46,0
Technology,region_2,Bachelor's Degree,Male,other,1,27,5,0,86,1
Procurement,region_21,Bachelor's Degree,Male,sourcing,4,30,3,0,72,0
Procurement,region_23,Bachelor's Degree,Female,other,1,27,4,0,72,1
Technology,region_15,Bachelor's Degree,Male,other,4,36,4,0,82,0
Technology,region_2,Bachelor's Degree,Male,sourcing,1,35,4,0,77,0
Sales & Marketing,region_25,Master's Degree,Male,other,1,34,5,0,51,1
Procurement,region_34,Master's Degree,Male,sourcing,1,37,5,1,92,1
Operations,region_22,Bachelor's Degree,Female,sourcing,1,27,0,0,58,0
Procurement,region_2,Master's Degree,Male,sourcing,2,47,3,0,71,0
Analytics,region_8,Bachelor's Degree,Male,other,1,28,0,0,83,0
Procurement,region_27,Master's Degree,Female,other,1,40,5,0,68,0
Sales & Marketing,region_27,Bachelor's Degree,Female,other,1,30,0,0,50,0
Operations,region_1,Master's Degree,Male,other,1,38,5,0,39,0
Sales & Marketing,region_25,Bachelor's Degree,Male,other,1,30,3,0,47,0
Sales & Marketing,region_11,Bachelor's Degree,Female,sourcing,1,28,5,0,46,0
Procurement,region_22,Bachelor's Degree,Male,sourcing,2,28,5,0,67,0
Operations,region_29,Bachelor's Degree,Male,sourcing,1,35,4,0,58,0
Analytics,region_22,Bachelor's Degree,Male,other,1,32,3,0,89,1
Sales & Marketing,region_26,Master's Degree,Male,sourcing,1,36,5,0,50,0
Operations,region_7,Bachelor's Degree,Male,sourcing,1,24,0,0,56,0
Technology,region_15,Bachelor's Degree,Male,other,1,27,3,0,78,0
Finance,region_28,Master's Degree,Male,other,2,34,3,0,56,0
Technology,region_14,Bachelor's Degree,Female,other,1,31,4,1,78,0
Technology,region_27,Bachelor's Degree,Female,sourcing,1,30,4,0,77,0
Technology,region_29,Bachelor's Degree,Female,other,2,30,3,1,76,0
Finance,region_23,Bachelor's Degree,Male,sourcing,1,31,0,0,56,0
Analytics,region_25,Bachelor's Degree,Male,other,1,30,5,0,84,0
Finance,region_22,Bachelor's Degree,Male,sourcing,1,28,3,0,57,0
Technology,region_2,Bachelor's Degree,Male,other,2,28,3,0,81,0
Sales & Marketing,region_15,Bachelor's Degree,Male,other,1,29,3,0,51,0
Sales & Marketing,region_22,Master's Degree,Male,sourcing,1,46,3,0,51,0
Technology,region_29,Bachelor's Degree,Male,sourcing,1,31,5,0,80,0
Procurement,region_5,Bachelor's Degree,Male,sourcing,1,28,1,0,72,0
Sales & Marketing,region_4,Master's Degree,Male,other,1,31,4,0,50,0
HR,region_7,Master's Degree,Female,other,1,37,3,0,48,0
Technology,region_5,Bachelor's Degree,Female,other,2,34,5,0,88,1
Procurement,region_2,Bachelor's Degree,Male,sourcing,1,25,5,0,70,1
Operations,region_22,Master's Degree,Male,sourcing,1,40,4,0,57,0
Operations,region_13,Master's Degree,Male,other,1,43,3,0,56,1
Operations,region_13,Bachelor's Degree,Male,other,1,36,1,0,56,0
Legal,region_29,Bachelor's Degree,Male,sourcing,1,29,3,0,63,0
Finance,region_13,Bachelor's Degree,Male,sourcing,2,35,3,0,56,0
Analytics,region_25,Master's Degree,Male,other,1,34,5,0,84,0
Sales & Marketing,region_16,Bachelor's Degree,Female,sourcing,1,32,4,0,39,0
HR,region_4,Bachelor's Degree,Male,other,1,27,0,0,50,0
Technology,region_26,Bachelor's Degree,Male,sourcing,1,29,3,0,75,0
Sales & Marketing,region_5,Bachelor's Degree,Male,sourcing,1,34,1,0,48,0
Procurement,region_2,Master's Degree,Male,sourcing,1,37,5,0,70,0
Procurement,region_22,Bachelor's Degree,Female,other,1,33,3,0,73,0
Procurement,region_2,Master's Degree,Female,other,1,33,5,0,67,0
Sales & Marketing,region_16,Bachelor's Degree,Female,other,1,39,1,0,39,0
Technology,region_23,Master's Degree,Male,other,1,34,4,0,82,0
Technology,region_22,Bachelor's Degree,Male,other,2,32,4,0,84,0
Sales & Marketing,region_7,Master's Degree,Male,other,1,34,4,0,53,0
Finance,region_12,Bachelor's Degree,Male,other,1,29,5,0,39,0
Sales & Marketing,region_2,Bachelor's Degree,Male,sourcing,2,28,1,0,50,0
Technology,region_7,Bachelor's Degree,Female,other,1,28,2,0,75,0
Procurement,region_2,Master's Degree,Female,other,2,35,3,0,70,0
Technology,region_2,Bachelor's Degree,Female,other,2,40,3,0,86,0
Sales & Marketing,region_2,Bachelor's Degree,Female,other,2,27,2,0,54,0
Procurement,region_22,Bachelor's Degree,Female,other,3,26,3,0,70,0
Operations,region_2,Bachelor's Degree,Male,sourcing,1,43,2,0,57,0
Finance,region_26,Bachelor's Degree,Male,other,1,23,0,0,39,0
Analytics,region_25,Bachelor's Degree,Male,sourcing,1,29,5,0,84,0
Sales & Marketing,region_14,Bachelor's Degree,Male,sourcing,1,43,3,0,51,0
Sales & Marketing,region_2,Bachelor's Degree,Male,sourcing,3,27,4,0,49,0
Procurement,region_27,Bachelor's Degree,Male,sourcing,1,26,4,0,70,0
Procurement,region_13,Bachelor's Degree,Female,other,1,31,5,0,72,0
Operations,region_7,Bachelor's Degree,Male,other,1,40,4,0,58,0
Operations,region_15,Bachelor's Degree,Female,other,2,39,5,0,55,0
Operations,region_2,Bachelor's Degree,Female,other,2,30,3,0,57,0
Technology,region_2,Master's Degree,Male,other,1,47,4,0,77,0
Sales & Marketing,region_17,Bachelor's Degree,Male,other,1,34,4,0,48,1
Operations,region_2,PhD,Female,other,1,33,4,0,64,0
Sales & Marketing,region_23,Master's Degree,Male,other,1,41,5,0,51,0
Technology,region_7,Bachelor's Degree,Male,other,1,29,1,0,80,0
Analytics,region_31,Bachelor's Degree,Female,other,1,32,3,0,86,0
Procurement,region_7,Master's Degree,Female,other,1,47,5,0,68,0
Operations,region_27,Bachelor's Degree,Male,other,1,35,4,0,65,0
Technology,region_22,Bachelor's Degree,Male,other,1,27,4,0,75,0
Analytics,region_32,Bachelor's Degree,Male,other,1,29,1,0,81,0
Sales & Marketing,region_20,Bachelor's Degree,Male,sourcing,2,36,3,0,49,0
Sales & Marketing,region_15,Bachelor's Degree,Male,other,2,35,1,0,39,0
Procurement,region_2,Bachelor's Degree,Female,sourcing,2,34,3,0,70,0
Sales & Marketing,region_23,Master's Degree,Female,sourcing,1,34,4,1,94,1
Operations,region_2,Master's Degree,Male,sourcing,1,39,3,0,60,0
Sales & Marketing,region_25,Bachelor's Degree,Male,other,1,26,5,0,51,0
Operations,region_31,Bachelor's Degree,Female,sourcing,1,30,5,0,56,0
Operations,region_16,PhD,Female,other,1,31,4,0,62,0
HR,region_2,Master's Degree,Male,sourcing,1,44,5,0,48,0
Sales & Marketing,region_1,Bachelor's Degree,Male,other,1,38,3,0,49,0
Technology,region_26,Bachelor's Degree,Male,other,1,40,1,0,78,0
Legal,region_2,Master's Degree,Male,sourcing,1,50,5,1,58,0
Procurement,region_19,Master's Degree,Male,other,1,44,3,0,70,0
Procurement,region_2,High School,Female,other,1,23,1,0,69,0
Sales & Marketing,region_7,Master's Degree,Female,sourcing,1,36,1,0,53,0
Analytics,region_27,Bachelor's Degree,Male,sourcing,1,25,1,0,80,0
Operations,region_28,Bachelor's Degree,Male,sourcing,1,34,5,0,58,0
Analytics,region_4,Bachelor's Degree,Male,sourcing,1,28,0,0,85,0
Analytics,region_1,Bachelor's Degree,Male,other,2,30,5,0,81,0
Procurement,region_12,Bachelor's Degree,Male,sourcing,1,35,1,0,67,0
Analytics,region_6,Bachelor's Degree,Male,sourcing,1,33,4,0,86,0
Analytics,region_13,Master's Degree,Male,other,1,30,3,0,80,0
Analytics,region_26,Bachelor's Degree,Male,other,2,27,5,0,85,0
Procurement,region_2,Bachelor's Degree,Male,other,4,29,0,0,68,0
Operations,region_2,Bachelor's Degree,Male,sourcing,1,43,3,0,58,0
Analytics,region_22,Bachelor's Degree,Male,other,2,28,3,0,86,0
Procurement,region_17,Bachelor's Degree,Male,other,1,31,5,0,68,0
Operations,region_2,Bachelor's Degree,Female,other,1,43,4,0,58,0
Operations,region_4,Bachelor's Degree,Female,other,1,35,5,0,60,0
Sales & Marketing,region_5,Bachelor's Degree,Male,other,2,35,3,0,49,0
Operations,region_2,Master's Degree,Male,other,1,50,3,0,59,0
HR,region_17,Bachelor's Degree,Female,other,1,26,4,0,50,0
Sales & Marketing,region_27,Bachelor's Degree,Male,sourcing,1,32,3,0,52,0
Operations,region_13,Master's Degree,Female,other,1,38,5,1,93,1
Sales & Marketing,region_26,PhD,Male,other,1,22,4,0,51,0
HR,region_20,Bachelor's Degree,Male,other,1,28,0,0,52,0
Procurement,region_14,Bachelor's Degree,Female,sourcing,1,37,3,0,69,0
Analytics,region_2,Bachelor's Degree,Male,sourcing,2,54,3,0,86,0
Sales & Marketing,region_11,Bachelor's Degree,Male,sourcing,1,36,3,0,51,0
Technology,region_6,Bachelor's Degree,Male,other,1,35,3,0,78,0
Analytics,region_29,Bachelor's Degree,Male,other,1,39,3,0,85,0
Operations,region_12,Bachelor's Degree,Female,sourcing,1,31,5,0,63,0
Operations,region_31,Bachelor's Degree,Male,other,2,38,3,1,60,0
Sales & Marketing,region_22,Bachelor's Degree,Male,sourcing,1,28,1,0,48,0
Sales & Marketing,region_7,Bachelor's Degree,Male,sourcing,3,26,2,0,52,0
Sales & Marketing,region_26,Bachelor's Degree,Male,sourcing,1,29,0,0,54,0
Analytics,region_20,Bachelor's Degree,Male,sourcing,1,30,3,0,84,0
Operations,region_22,Bachelor's Degree,Male,sourcing,2,37,2,0,57,1
R&D,region_2,PhD,Male,other,1,25,0,0,76,0
Technology,region_22,Bachelor's Degree,Male,referred,1,26,4,0,82,0
Technology,region_7,Bachelor's Degree,Male,other,1,31,4,0,78,0
Technology,region_14,Bachelor's Degree,Female,other,1,38,5,0,82,0
Sales & Marketing,region_13,Bachelor's Degree,Male,other,1,39,4,0,49,0
Sales & Marketing,region_4,Bachelor's Degree,Male,other,1,30,5,1,50,0
Procurement,region_15,Master's Degree,Female,other,1,34,5,0,67,0
Procurement,region_23,Master's Degree,Female,other,1,33,3,0,72,0
Technology,region_2,Bachelor's Degree,Female,other,1,29,5,0,78,0
Operations,region_2,Bachelor's Degree,Male,sourcing,1,28,4,0,39,0
Finance,region_22,Bachelor's Degree,Male,sourcing,1,24,0,0,56,0
Analytics,region_22,Bachelor's Degree,Male,other,2,26,4,0,87,0
Legal,region_22,Bachelor's Degree,Male,sourcing,1,34,5,0,64,0
Sales & Marketing,region_27,Bachelor's Degree,Male,sourcing,1,35,3,0,46,0
Technology,region_13,Master's Degree,Male,other,1,43,3,0,79,0
Sales & Marketing,region_15,Bachelor's Degree,Male,other,1,34,1,0,39,0
Technology,region_7,Master's Degree,Female,other,2,38,3,0,88,0
Operations,region_7,Bachelor's Degree,Female,other,1,34,1,0,54,0
Operations,region_22,Bachelor's Degree,Male,sourcing,1,41,4,0,63,0
Finance,region_7,Bachelor's Degree,Male,sourcing,2,29,1,0,39,0
Operations,region_2,Bachelor's Degree,Male,other,1,33,4,0,39,0
Sales & Marketing,region_2,Master's Degree,Female,other,1,41,4,0,48,0
Operations,region_2,Master's Degree,Male,other,3,38,3,0,57,0
Procurement,region_2,Master's Degree,Female,other,2,54,4,0,66,0
Sales & Marketing,region_13,Master's Degree,Female,sourcing,2,34,2,0,49,0
R&D,region_2,Bachelor's Degree,Male,other,2,26,5,0,87,0
Operations,region_7,Bachelor's Degree,Female,sourcing,1,35,5,0,59,0
Legal,region_2,High School,Male,other,1,28,0,0,62,0
Operations,region_33,Master's Degree,Male,other,1,36,3,0,60,0
Technology,region_5,Bachelor's Degree,Male,other,1,45,3,0,87,0
Procurement,region_7,Master's Degree,Male,other,1,38,4,0,66,0
Sales & Marketing,region_27,Bachelor's Degree,Female,other,1,26,2,0,47,0
Analytics,region_27,PhD,Male,sourcing,1,31,3,0,85,0
Analytics,region_34,Bachelor's Degree,Male,sourcing,1,32,3,0,87,0
Analytics,region_6,Bachelor's Degree,Male,sourcing,1,29,4,0,78,0
Sales & Marketing,region_2,Bachelor's Degree,Female,other,1,40,3,0,50,0
Technology,region_2,Bachelor's Degree,Male,referred,2,29,4,0,75,0
Analytics,region_28,Bachelor's Degree,Male,other,2,31,5,0,87,0
Finance,region_16,Bachelor's Degree,Male,other,1,32,5,0,58,0
Operations,region_17,Bachelor's Degree,Male,other,1,42,5,0,67,0
Procurement,region_15,Bachelor's Degree,Female,sourcing,1,30,5,0,65,0
Procurement,region_16,Bachelor's Degree,Female,other,1,24,3,0,70,0
Sales & Marketing,region_30,Bachelor's Degree,Male,sourcing,1,35,3,0,56,0
Technology,region_5,Bachelor's Degree,Female,sourcing,2,32,1,0,80,0
HR,region_2,Bachelor's Degree,Female,sourcing,1,22,3,0,47,0
Sales & Marketing,region_2,Bachelor's Degree,Male,sourcing,2,44,5,0,48,0
Operations,region_16,Bachelor's Degree,Male,other,2,39,3,0,58,0
Technology,region_7,Bachelor's Degree,Female,other,1,46,4,0,85,0
Technology,region_15,Bachelor's Degree,Male,other,1,29,2,0,77,0
Finance,region_7,Bachelor's Degree,Male,other,1,26,1,0,59,0
Operations,region_23,Bachelor's Degree,Male,other,1,35,4,0,39,0
Procurement,region_2,Bachelor's Degree,Female,other,1,29,4,0,95,1
Technology,region_13,Bachelor's Degree,Male,sourcing,1,30,2,0,79,0
Sales & Marketing,region_7,Bachelor's Degree,Male,other,1,45,4,0,50,0
Sales & Marketing,region_15,Bachelor's Degree,Female,other,1,30,1,0,47,0
Finance,region_32,Bachelor's Degree,Male,sourcing,1,28,2,0,59,0
Technology,region_2,Master's Degree,Male,sourcing,1,46,5,0,76,0
Procurement,region_7,Bachelor's Degree,Male,sourcing,1,27,2,0,69,0
Sales & Marketing,region_11,Bachelor's Degree,Male,sourcing,1,34,2,0,47,0
Analytics,region_19,Bachelor's Degree,Male,sourcing,2,32,5,0,86,0
Operations,region_22,Bachelor's Degree,Female,other,1,35,5,0,63,0
Procurement,region_27,Bachelor's Degree,Male,other,1,36,4,0,66,0
Procurement,region_2,Master's Degree,Female,other,1,58,1,0,70,0
Finance,region_31,Bachelor's Degree,Male,other,1,29,4,0,57,0
Procurement,region_2,Bachelor's Degree,Female,referred,1,33,3,0,67,0
Operations,region_16,Bachelor's Degree,Female,other,1,32,5,0,62,0
Legal,region_22,High School,Male,other,1,25,5,0,59,0
Procurement,region_13,Bachelor's Degree,Male,other,4,41,2,0,68,0
Procurement,region_12,Bachelor's Degree,Female,other,1,25,0,0,69,0
Analytics,region_2,Master's Degree,Male,other,1,50,1,1,79,0
Sales & Marketing,region_26,Bachelor's Degree,Male,other,1,30,1,0,53,0
Technology,region_24,Bachelor's Degree,Male,sourcing,1,28,0,0,81,0
Analytics,region_20,Master's Degree,Male,other,1,40,5,1,83,1
Finance,region_2,High School,Female,other,1,26,3,0,39,0
Technology,region_13,Bachelor's Degree,Male,other,1,35,5,0,81,0
Sales & Marketing,region_7,Master's Degree,Male,other,1,37,3,0,52,0
Operations,region_22,Master's Degree,Male,other,1,34,3,0,75,1
Operations,region_8,Bachelor's Degree,Male,sourcing,1,25,3,0,57,0
Sales & Marketing,region_2,PhD,Male,other,1,22,5,0,62,1
Procurement,region_2,Bachelor's Degree,Female,other,2,26,5,0,68,1
Technology,region_2,Bachelor's Degree,Female,other,1,31,4,0,80,0
Finance,region_2,Bachelor's Degree,Male,sourcing,4,31,5,0,60,0
Analytics,region_25,Bachelor's Degree,Male,sourcing,1,32,3,0,86,0
Sales & Marketing,region_19,Bachelor's Degree,Male,sourcing,1,36,5,0,48,0
Technology,region_2,Bachelor's Degree,Female,sourcing,1,57,3,0,81,0
Sales & Marketing,region_2,Bachelor's Degree,Female,sourcing,1,42,4,0,51,0
Sales & Marketing,region_20,Bachelor's Degree,Male,other,1,28,3,0,48,0
Analytics,region_12,Bachelor's Degree,Male,sourcing,2,33,4,0,86,0
Analytics,region_2,Bachelor's Degree,Male,sourcing,1,41,3,0,86,0
Operations,region_2,High School,Male,other,2,26,0,0,39,0
Procurement,region_12,Bachelor's Degree,Female,other,1,32,5,1,84,1
Operations,region_2,PhD,Male,other,1,48,3,0,57,0
Operations,region_26,Master's Degree,Male,other,1,41,3,0,58,0
Technology,region_2,Master's Degree,Male,other,1,31,5,0,82,0
Sales & Marketing,region_26,Bachelor's Degree,Male,other,1,37,4,0,54,0
Analytics,region_29,Bachelor's Degree,Male,other,1,30,1,0,84,0
Finance,region_2,High School,Male,other,1,26,5,0,60,0
Sales & Marketing,region_13,Bachelor's Degree,Male,sourcing,1,44,5,0,42,0
Operations,region_7,Bachelor's Degree,Female,sourcing,1,44,3,0,60,0
R&D,region_22,Master's Degree,Male,other,1,30,4,0,96,1
Operations,region_22,High School,Male,other,1,24,3,0,59,0
Sales & Marketing,region_27,Bachelor's Degree,Male,other,1,40,1,0,49,0
Technology,region_11,Master's Degree,Male,other,1,32,3,0,80,0
Sales & Marketing,region_2,Bachelor's Degree,Male,sourcing,1,40,5,0,53,0
Technology,region_7,High School,Female,other,2,24,4,0,78,0
Sales & Marketing,region_26,Bachelor's Degree,Male,other,1,45,4,0,64,1
Sales & Marketing,region_2,Bachelor's Degree,Female,other,1,34,5,0,60,1
Operations,region_2,PhD,Female,other,1,58,4,0,60,0
Technology,region_24,Bachelor's Degree,Male,sourcing,1,35,3,0,82,0
Sales & Marketing,region_16,PhD,Male,other,1,24,4,0,51,0
Sales & Marketing,region_23,Bachelor's Degree,Male,other,1,35,2,0,48,0
Technology,region_23,Bachelor's Degree,Male,sourcing,1,31,1,0,81,0
Operations,region_29,Bachelor's Degree,Male,other,1,33,3,0,60,0
HR,region_2,Master's Degree,Female,sourcing,1,44,3,0,47,0
Sales & Marketing,region_28,PhD,Male,other,1,24,2,0,52,1
Procurement,region_2,Bachelor's Degree,Male,other,2,34,2,0,69,0
Sales & Marketing,region_22,Bachelor's Degree,Male,sourcing,1,37,5,0,54,0
Operations,region_26,Bachelor's Degree,Male,other,2,31,3,0,63,0
Procurement,region_19,Bachelor's Degree,Male,other,1,32,3,0,69,0
Operations,region_2,Bachelor's Degree,Female,other,1,33,5,0,57,0
Operations,region_2,PhD,Female,sourcing,1,53,3,0,57,0
Operations,region_22,Bachelor's Degree,Male,sourcing,2,37,5,0,57,0
Sales & Marketing,region_15,Bachelor's Degree,Male,sourcing,1,30,2,0,49,0
Analytics,region_15,Bachelor's Degree,Male,sourcing,1,35,5,0,81,0
Technology,region_11,Bachelor's Degree,Male,sourcing,1,32,3,0,80,0
Operations,region_15,Bachelor's Degree,Male,sourcing,1,45,3,0,39,0
Procurement,region_13,Bachelor's Degree,Male,other,1,29,0,0,69,0
Sales & Marketing,region_4,Bachelor's Degree,Male,sourcing,2,31,3,0,53,0
Technology,region_15,Bachelor's Degree,Male,sourcing,2,34,3,0,80,0
Analytics,region_22,Bachelor's Degree,Female,other,1,24,0,0,86,0
Operations,region_3,Master's Degree,Female,other,1,31,5,0,59,0
Sales & Marketing,region_10,Master's Degree,Female,other,1,37,3,0,47,0
