Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,,,
45,Male,Bachelor's Degree,Sales Operations Manager,18,110000,UK,White,,,
32,Female,Bachelor's Degree,Marketing Coordinator,4,50000,USA,White,,,
34,Male,Master's Degree,Senior Software Developer,8,105000,Canada,White,,,
50,Female,Master's Degree,Director of Operations,21,160000,UK,White,,,
29,Male,Bachelor's Degree,Junior Web Designer,3,45000,China,White,,,
40,Female,Master's Degree,Senior Training Specialist,12,100000,Canada,Black,,,
47,Male,PhD,Senior Research Scientist,22,160000,USA,Hispanic,,,
27,Male,Bachelor's Degree,Junior Sales Representative,1,35000,UK,Mixed,,,
39,Female,Bachelor's Degree,Administrative Assistant,10,55000,Canada,Black,,,
46,Male,Master's Degree,Senior Project Manager,19,140000,Canada,Black,,,
30,Female,Bachelor's Degree,Junior Marketing Manager,4,50000,Canada,White,,,
36,Male,Bachelor's Degree,Junior Data Analyst,7,60000,Australia,Asian,,,
43,Female,Master's Degree,Senior Product Marketing Manager,14,120000,Australia,White,,,
28,Male,Bachelor's Degree,Junior Business Analyst,2,40000,USA,White,,,
41,Female,Master's Degree,Senior Marketing Manager,13,110000,Australia,Australian,,,
33,Male,Bachelor's Degree,Junior Software Developer,5,50000,USA,Hispanic,,,
47,Male,Bachelor's Degree,Senior Sales Manager,20,135000,China,White,,,
25,Female,Master's Degree,Junior Marketing Specialist,1.5,40000,Australia,Asian,,,
34,Male,Bachelor's Degree,Senior Business Analyst,8,90000,Australia,Asian,,,
42,Female,PhD,Senior Data Scientist,16,150000,China,Chinese,,,
31,Male,Bachelor's Degree,Junior Project Manager,4,60000,UK,Welsh,,,
38,Female,Bachelor's Degree,Senior Accountant,10,80000,USA,African American,,,
45,Male,Master's Degree,Director of Sales,19,175000,Canada,Black,,,
29,Female,Bachelor's Degree,Junior Recruiter,3,45000,Australia,Australian,,,
36,Male,Master's Degree,Senior Business Development Manager,11,120000,Canada,Black,,,
43,Female,PhD,Senior Product Designer,18,140000,Australia,Asian,,,
26,Male,Bachelor's Degree,Junior Customer Support Specialist,2,35000,USA,Asian,,,
37,Female,Master's Degree,Senior Marketing Analyst,9,95000,Canada,White,,,
44,Male,Bachelor's Degree,Senior IT Support Specialist,14,110000,USA,African American,,,
32,Female,Bachelor's Degree,Junior Financial Analyst,5,50000,USA,Asian,,,
33,Male,Master's Degree,Senior Operations Manager,7,115000,China,Korean,,,
51,Female,PhD,Director of Human Resources,23,185000,China,Chinese,,,
28,Male,Bachelor's Degree,Junior Software Engineer,2,40000,Australia,White,,,
39,Female,Bachelor's Degree,Senior Sales Representative,12,90000,USA,Asian,,,
48,Male,Master's Degree,Director of Product Management,21,175000,USA,Asian,,,
30,Female,Bachelor's Degree,Junior Copywriter,3,45000,UK,Mixed,,,
35,Male,Bachelor's Degree,Senior Marketing Coordinator,7,80000,China,White,,,
41,Female,Master's Degree,Senior Human Resources Manager,13,120000,China,Korean,,,
27,Male,Bachelor's Degree,Junior Business Development Associate,1.5,35000,China,White,,,
40,Female,Bachelor's Degree,Senior Account Manager,14,110000,Australia,Australian,,,
46,Male,PhD,Senior Researcher,18,150000,Canada,Black,,,
31,Female,Bachelor's Degree,Junior HR Coordinator,4,50000,China,Korean,,,
34,Male,Master's Degree,Senior Software Engineer,9,105000,China,Korean,,,
50,Female,Master's Degree,Director of Finance,20,180000,Australia,Australian,,,
29,Male,Bachelor's Degree,Junior Marketing Coordinator,2,40000,Canada,Asian,,,
,,,,,,UK,White,,,
43,Male,Bachelor's Degree,Senior Project Manager,16,140000,UK,White,,,
26,Female,Master's Degree,Junior Data Scientist,1.5,45000,Canada,Asian,,,
35,Male,Bachelor's Degree,Senior Operations Analyst,7,85000,China,White,,,
42,Female,PhD,Senior Marketing Manager,18,140000,UK,Asian,,,
31,Male,Bachelor's Degree,Junior Accountant,4,50000,UK,Welsh,,,
38,Female,Bachelor's Degree,Senior Human Resources Coordinator,10,80000,UK,Asian,,,
46,Male,Master's Degree,Director of Operations,20,170000,USA,Asian,,,
29,Female,Bachelor's Degree,Junior Sales Representative,2,40000,UK,Welsh,,,
37,Male,Master's Degree,Senior Business Analyst,9,105000,China,Chinese,,,
44,Female,PhD,Senior UX Designer,15,145000,USA,Hispanic,,,
27,Male,Bachelor's Degree,Junior Product Manager,2,40000,USA,Hispanic,,,
36,Female,Bachelor's Degree,Senior Marketing Specialist,8,85000,USA,African American,,,
43,Male,Bachelor's Degree,Senior IT Project Manager,14,130000,China,Chinese,,,
33,Female,Master's Degree,Senior Financial Analyst,6,95000,Canada,White,,,
34,Male,Bachelor's Degree,Senior Quality Assurance Analyst,9,100000,UK,Mixed,,,
50,Female,PhD,Director of Sales and Marketing,22,180000,China,Korean,,,
28,Male,Bachelor's Degree,Junior Operations Analyst,1.5,35000,UK,Welsh,,,
39,Female,Bachelor's Degree,Senior Account Executive,12,95000,USA,African American,,,
47,Male,Master's Degree,Director of Business Development,19,170000,Australia,Asian,,,
30,Female,Bachelor's Degree,Junior Social Media Manager,3,45000,Australia,Australian,,,
34,Male,Bachelor's Degree,Senior Product Manager,7,95000,China,Chinese,,,
40,Female,Master's Degree,Senior Human Resources Specialist,13,120000,UK,Welsh,,,
28,Male,Bachelor's Degree,Junior Business Analyst,2,40000,USA,African American,,,
41,Female,Bachelor's Degree,Senior Marketing Coordinator,11,90000,Canada,Asian,,,
45,Male,PhD,Senior Data Analyst,17,155000,UK,Asian,,,
32,Female,Bachelor's Degree,Junior Account Manager,5,55000,Australia,Asian,,,
35,Male,Master's Degree,Senior Software Developer,9,110000,Canada,Asian,,,
49,Female,Master's Degree,Director of Human Capital,21,180000,UK,Mixed,,,
30,Male,Bachelor's Degree,Junior Advertising Coordinator,3,45000,UK,White,,,
44,Male,Bachelor's Degree,Senior Sales Manager,16,130000,USA,Asian,,,
27,Female,Master's Degree,Junior UX Designer,1.5,45000,USA,Hispanic,,,
36,Male,Bachelor's Degree,Senior Accountant,7,90000,Canada,White,,,
41,Female,PhD,Senior Marketing Director,17,160000,UK,Mixed,,,
31,Male,Bachelor's Degree,Junior HR Generalist,4,50000,China,Chinese,,,
39,Female,Bachelor's Degree,Senior Operations Manager,10,120000,Australia,Asian,,,
47,Male,Master's Degree,Director of Finance,20,170000,Australia,Australian,,,
30,Female,Bachelor's Degree,Junior Marketing Coordinator,2,40000,China,Korean,,,
38,Male,Master's Degree,Senior IT Consultant,9,110000,China,White,,,
45,Female,PhD,Senior Product Designer,15,150000,China,Chinese,,,
28,Male,Bachelor's Degree,Junior Business Development Associate,2,40000,USA,Asian,,,
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000,USA,White,,,
44,Male,Bachelor's Degree,Senior Software Engineer,14,130000,China,Chinese,,,
34,Female,Master's Degree,Senior Financial Advisor,6,100000,UK,Welsh,,,
35,Male,Bachelor's Degree,Senior Project Coordinator,9,95000,Canada,White,,,
50,Female,PhD,Director of Operations,22,180000,Australia,Australian,,,
29,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,35000,UK,Asian,,,
40,Female,Bachelor's Degree,Senior Sales Representative,12,100000,China,Chinese,,,
48,Male,Master's Degree,Director of Marketing,19,170000,USA,Hispanic,,,
31,Female,Bachelor's Degree,Junior Social Media Specialist,3,45000,UK,Welsh,,,
33,Male,Bachelor's Degree,Senior Product Development Manager,7,100000,USA,Hispanic,,,
42,Female,Master's Degree,Senior Human Resources Manager,13,140000,China,White,,,
28,Male,Bachelor's Degree,Junior Financial Analyst,2,40000,Australia,Australian,,,
40,Female,Bachelor's Degree,Senior Marketing Manager,11,105000,UK,White,,,
46,Male,PhD,Senior Data Scientist,18,160000,Canada,White,,,
33,Female,Bachelor's Degree,Junior Operations Manager,5,70000,Australia,Asian,,,
37,Male,Master's Degree,Senior Software Architect,9,120000,Australia,Australian,,,
51,Female,Master's Degree,Director of Human Resources,21,190000,USA,Hispanic,,,
30,Male,Bachelor's Degree,Junior Marketing Specialist,3,45000,Canada,Black,,,
43,Male,Bachelor's Degree,Senior Project Manager,15,120000,Canada,Asian,,,
27,Female,Master's Degree,Junior Research Scientist,1.5,50000,China,White,,,
35,Male,Bachelor's Degree,Senior Operations Analyst,8,85000,Canada,White,,,
42,Female,PhD,Senior Marketing Manager,13,140000,Canada,White,,,
32,Male,Bachelor's Degree,Junior Sales Representative,3,45000,Australia,White,,,
37,Female,Bachelor's Degree,Senior Financial Analyst,9,100000,UK,Welsh,,,
45,Male,Master's Degree,Senior Software Developer,16,140000,Australia,Asian,,,
33,Female,Bachelor's Degree,Junior Operations Analyst,5,70000,Canada,Asian,,,
39,Male,Bachelor's Degree,Senior Marketing Specialist,10,120000,Canada,Black,,,
44,Female,PhD,Senior HR Manager,18,160000,Canada,White,,,
29,Male,Bachelor's Degree,Junior Business Analyst,1.5,40000,Australia,Australian,,,
38,Female,Bachelor's Degree,Senior Product Manager,10,120000,China,Korean,,,
46,Male,PhD,Senior Data Analyst,19,150000,UK,Asian,,,
34,Female,Bachelor's Degree,Junior Marketing Analyst,6,70000,USA,Asian,,,
36,Male,Bachelor's Degree,Senior Operations Manager,8,95000,USA,White,,,
49,Female,Master's Degree,Director of Marketing,21,180000,Canada,White,,,
31,Male,Bachelor's Degree,Junior Financial Analyst,3,50000,Canada,Black,,,
41,Female,Bachelor's Degree,Senior Project Coordinator,11,95000,USA,African American,,,
47,Male,Master's Degree,Director of Operations,20,170000,Canada,White,,,
30,Female,Bachelor's Degree,Junior Marketing Coordinator,2,40000,USA,White,,,
38,Male,Master's Degree,Senior IT Consultant,9,110000,Australia,Australian,,,
45,Female,PhD,Senior Product Designer,15,150000,China,Korean,,,
28,Male,Bachelor's Degree,Junior Business Development Associate,2,40000,USA,Asian,,,
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000,Canada,White,,,
44,Male,Bachelor's Degree,Senior Software Engineer,14,130000,Australia,Australian,,,
34,Female,Master's Degree,Senior Financial Advisor,6,100000,Australia,Australian,,,
35,Male,Bachelor's Degree,Senior Project Coordinator,9,95000,UK,Asian,,,
50,Female,PhD,Director of Operations,22,180000,Australia,White,,,
29,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,350,USA,Hispanic,,,
,,,,,,Canada,White,,,
37,Female,Bachelor's Degree,Senior Financial Manager,10,120000,USA,African American,,,
46,Male,PhD,Senior Data Scientist,18,160000,China,Chinese,,,
31,Female,Bachelor's Degree,Junior Marketing Coordinator,3,50000,Australia,White,,,
42,Male,Bachelor's Degree,Senior Operations Manager,12,110000,Canada,Black,,,
29,Female,Bachelor's Degree,Junior Sales Representative,1.5,40000,USA,African American,,,
36,Male,Bachelor's Degree,Senior Marketing Specialist,8,95000,UK,White,,,
44,Female,Master's Degree,Senior HR Specialist,15,140000,China,Chinese,,,
33,Male,Bachelor's Degree,Junior Operations Manager,4,60000,China,Korean,,,
39,Female,Bachelor's Degree,Senior Marketing Coordinator,9,110000,China,White,,,
45,Male,PhD,Senior Data Engineer,16,150000,Australia,Asian,,,
32,Female,Bachelor's Degree,Junior Marketing Manager,4,60000,UK,Welsh,,,
37,Male,Bachelor's Degree,Senior Financial Analyst,8,90000,Australia,Australian,,,
47,Female,Master's Degree,Director of Marketing,20,180000,UK,Mixed,,,
30,Male,Bachelor's Degree,Junior Business Analyst,2,40000,Australia,Australian,,,
38,Female,Bachelor's Degree,Senior Project Manager,9,120000,UK,Asian,,,
46,Male,PhD,Senior Data Analyst,17,160000,UK,Asian,,,
34,Female,Bachelor's Degree,Junior Financial Analyst,5,70000,UK,Mixed,,,
36,Male,Bachelor's Degree,Senior Product Manager,8,95000,Australia,Asian,,,
49,Female,Master's Degree,Director of Operations,21,180000,UK,Mixed,,,
31,Male,Bachelor's Degree,Junior Operations Analyst,3,50000,USA,Hispanic,,,
41,Female,Bachelor's Degree,Senior Project Coordinator,11,95000,Canada,Black,,,
47,Male,Master's Degree,Director of Marketing,19,170000,Canada,White,,,
29,Female,Bachelor's Degree,Junior Business Development Associate,1.5,35000,Australia,White,,,
35,Male,Bachelor's Degree,Senior Financial Manager,9,100000,Canada,White,,,
44,Female,PhD,Senior Product Designer,15,150000,China,White,,,
33,Male,Bachelor's Degree,Junior Business Analyst,4,60000,Canada,Black,,,
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000,China,Chinese,,,
44,Male,Bachelor's Degree,Senior Software Engineer,13,130000,Canada,White,,,
32,Male,Bachelor's Degree,Junior Product Manager,4,65000,China,Chinese,,,
38,Female,Bachelor's Degree,Senior Business Analyst,10,110000,Australia,Asian,,,
49,Male,PhD,Director of Operations,21,180000,USA,Asian,,,
29,Female,Bachelor's Degree,Junior Marketing Specialist,2,40000,Australia,Australian,,,
35,Male,Bachelor's Degree,Senior Business Development Manager,7,90000,USA,Hispanic,,,
45,Female,Master's Degree,Senior HR Manager,14,140000,UK,Welsh,,,
33,Male,Bachelor's Degree,Junior Financial Analyst,4,60000,China,Korean,,,
40,Female,Bachelor's Degree,Senior Marketing Manager,12,130000,Australia,Asian,,,
44,Male,PhD,Senior Data Scientist,16,160000,Australia,Asian,,,
30,Female,Bachelor's Degree,Junior Operations Coordinator,2,40000,Australia,White,,,
37,Male,Bachelor's Degree,Senior Marketing Analyst,9,100000,UK,Mixed,,,
48,Female,Master's Degree,Director of HR,20,180000,USA,Hispanic,,,
31,Male,Bachelor's Degree,Junior Project Manager,3,55000,Canada,Black,,,
38,Female,Bachelor's Degree,Senior Operations Coordinator,9,120000,Canada,Asian,,,
45,Male,PhD,Senior Data Engineer,16,150000,Canada,Black,,,
33,Female,Bachelor's Degree,Junior Marketing Manager,5,70000,UK,Mixed,,,
36,Male,Bachelor's Degree,Senior Business Analyst,8,95000,China,Chinese,,,
49,Female,Master's Degree,Director of Marketing,21,180000,China,White,,,
31,Male,Bachelor's Degree,Junior Operations Analyst,3,50000,Canada,Black,,,
42,Female,Bachelor's Degree,Senior Project Manager,12,120000,Australia,White,,,
47,Male,Master's Degree,Director of Marketing,19,170000,UK,White,,,
29,Female,Bachelor's Degree,Junior Business Development Associate,1.5,35000,Australia,White,,,
35,Male,Bachelor's Degree,Senior Financial Manager,9,100000,Australia,Asian,,,
44,Female,PhD,Senior Product Designer,15,150000,Australia,Asian,,,
33,Male,Bachelor's Degree,Junior Business Analyst,4,60000,UK,White,,,
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000,Canada,Black,,,
44,Male,Bachelor's Degree,Senior Software Engineer,13,130000,Australia,White,,,
34,Female,Master's Degree,Senior Financial Advisor,6,80000,Canada,White,,,
36,Male,Bachelor's Degree,Senior Marketing Specialist,8,95000,Canada,White,,,
30,Female,Bachelor's Degree,Junior HR Coordinator,2,40000,UK,Welsh,,,
37,Male,Bachelor's Degree,Senior Business Development Manager,10,120000,China,Chinese,,,
45,Female,Master's Degree,Senior Marketing Manager,16,160000,Canada,Black,,,
32,Male,Bachelor's Degree,Junior Financial Advisor,4,65000,USA,Hispanic,,,
39,Female,Bachelor's Degree,Senior Project Manager,12,130000,Canada,White,,,
47,Male,PhD,Director of Engineering,20,180000,China,White,,,
29,Female,Bachelor's Degree,Junior Marketing Analyst,2,40000,Australia,Australian,,,
36,Male,Bachelor's Degree,Senior Operations Manager,9,100000,UK,Asian,,,
43,Female,PhD,Senior Data Scientist,15,150000,USA,African American,,,
32,Male,Bachelor's Degree,Junior Marketing Coordinator,3,55000,Canada,White,,,
38,Female,Bachelor's Degree,Senior Business Analyst,10,110000,China,White,,,
48,Male,Master's Degree,Director of Marketing,21,180000,China,Chinese,,,
31,Female,Bachelor's Degree,Junior Business Development Associate,3,50000,China,Korean,,,
40,Male,Bachelor's Degree,Senior Financial Analyst,12,130000,Australia,White,,,
45,Female,PhD,Senior UX Designer,16,160000,Australia,Asian,,,
33,Male,Bachelor's Degree,Junior Product Manager,4,60000,Canada,Asian,,,
36,Female,Bachelor's Degree,Senior Marketing Manager,8,95000,China,Korean,,,
47,Male,Master's Degree,Director of Operations,19,170000,China,Chinese,,,
29,Female,Bachelor's Degree,Junior Project Manager,2,40000,UK,Mixed,,,
34,Male,Bachelor's Degree,Senior Operations Coordinator,7,90000,UK,Asian,,,
44,Female,PhD,Senior Business Analyst,15,150000,UK,White,,,
33,Male,Bachelor's Degree,Junior Marketing Specialist,5,70000,UK,Welsh,,,
35,Female,Bachelor's Degree,Senior Financial Manager,8,90000,Australia,White,,,
43,Male,Master's Degree,Director of Marketing,18,170000,China,Korean,,,
31,Female,Bachelor's Degree,Junior Financial Analyst,3,50000,UK,Asian,,,
41,Male,Bachelor's Degree,Senior Product Manager,14,150000,Canada,White,,,
44,Female,PhD,Senior Data Engineer,16,160000,Canada,Asian,,,
33,Male,Bachelor's Degree,Junior Business Analyst,4,60000,Canada,Black,,,
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000,Canada,Asian,,,
45,Male,Master's Degree,Director of Engineering,19,180000,China,Chinese,,,
28,Female,Bachelor's Degree,Junior Operations Manager,1,35000,Canada,Asian,,,
36,Male,Bachelor's Degree,Senior Business Development Manager,8,110000,USA,Asian,,,
44,Female,PhD,Senior Data Scientist,16,160000,China,Chinese,,,
31,Male,Bachelor's Degree,Junior Marketing Coordinator,3,55000,Canada,Black,,,
38,Female,Bachelor's Degree,Senior Business Analyst,10,110000,Canada,Black,,,
48,Male,Master's Degree,Director of Marketing,21,180000,Canada,Asian,,,
31,Female,Bachelor's Degree,Junior Business Development Associate,3,50000,Canada,Black,,,
40,Male,Bachelor's Degree,Senior Financial Analyst,12,130000,USA,White,,,
45,Female,PhD,Senior UX Designer,16,160000,UK,Asian,,,
33,Male,Bachelor's Degree,Junior Product Manager,4,60000,Canada,White,,,
36,Female,Bachelor's Degree,Senior Marketing Manager,8,95000,UK,Welsh,,,
47,Male,Master's Degree,Director of Operations,19,170000,UK,Welsh,,,
29,Female,Bachelor's Degree,Junior Project Manager,2,40000,Australia,Australian,,,
34,Male,Bachelor's Degree,Senior Operations Coordinator,7,90000,China,Chinese,,,
44,Female,PhD,Senior Business Analyst,15,150000,UK,Welsh,,,
33,Male,Bachelor's Degree,Junior Marketing Specialist,5,70000,Canada,White,,,
35,Female,Bachelor's Degree,Senior Financial Manager,8,90000,China,Chinese,,,
43,Male,Master's Degree,Director of Marketing,18,170000,Canada,Asian,,,
31,Female,Bachelor's Degree,Junior Financial Analyst,3,50000,Canada,Black,,,
41,Male,Bachelor's Degree,Senior Product Manager,14,150000,China,Chinese,,,
44,Female,PhD,Senior Data Engineer,16,160000,Australia,White,,,
33,Male,Bachelor's Degree,Junior Business Analyst,4,60000,UK,Welsh,,,
